Timestamp,Device,Power(W),"Energy Consumption(kWh)",Voltage,Current,"Active Power (kW)","Frequency (Hz)","Power Factor","Active Energy (kWh)"
"2025-03-01 11:00:00",Refrigerator,200,0.15,230.05,1.0,0.15,49.94,0.94,0.13
"2025-03-01 12:00:00",Refrigerator,200,0.15,224.44,1.0,0.15,49.83,0.89,0.19
"2025-03-01 00:00:00","Air Conditioner",2000,2.0,213.65,8.0,2.0,49.97,0.86,2.54
"2025-03-01 01:00:00","Air Conditioner",2000,2.0,210.2,8.0,2.0,50.13,1.0,2.18
"2025-03-01 03:00:00","Air Conditioner",2000,2.0,233.63,8.0,2.0,50.05,0.94,2.15
"2025-03-01 05:00:00","Air Conditioner",2000,2.0,233.68,8.0,2.0,50.11,0.89,1.27
"2025-03-01 08:00:00","Air Conditioner",2000,2.0,216.47,8.0,2.0,50.06,0.9,2.52
"2025-03-01 11:00:00","Air Conditioner",2000,2.0,228.12,8.0,2.0,50.16,0.95,2.14
"2025-03-01 12:00:00","Air Conditioner",2000,2.0,212.85,8.0,2.0,50.16,0.86,1.2
"2025-03-01 14:00:00","Air Conditioner",2000,2.0,214.49,8.0,2.0,49.98,0.98,1.44
"2025-03-01 15:00:00","Air Conditioner",2000,2.0,232.46,8.0,2.0,49.81,0.92,1.85
"2025-03-01 16:00:00","Air Conditioner",2000,2.0,229.57,8.0,2.0,50.11,0.92,1.3
"2025-03-01 17:00:00","Air Conditioner",2000,2.0,218.07,8.0,2.0,49.96,0.93,2.11
"2025-03-01 19:00:00","Air Conditioner",2000,2.0,214.6,8.0,2.0,50.06,0.89,1.24
"2025-03-01 20:00:00","Air Conditioner",2000,2.0,233.07,8.0,2.0,50.15,0.87,2.93
"2025-03-01 22:00:00","Air Conditioner",2000,2.0,228.98,8.0,2.0,49.81,0.89,1.78
"2025-03-01 23:00:00","Air Conditioner",2000,2.0,212.26,8.0,2.0,50.05,0.98,1.99
"2025-03-01 01:00:00",Microwave,1000,0.5,237.82,4.0,0.5,49.87,0.87,0.51
"2025-03-01 03:00:00","Washing Machine",600,0.5,239.98,3.0,0.5,50.06,0.97,0.57
"2025-03-01 04:00:00",Microwave,1000,0.5,218.44,4.0,0.5,49.98,0.98,0.27
"2025-03-01 05:00:00","Washing Machine",600,0.5,235.15,3.0,0.5,50.03,0.9,0.57
"2025-03-01 08:00:00",Microwave,1000,0.5,228.32,4.0,0.5,50.09,0.97,0.49
"2025-03-01 09:00:00",Microwave,1000,0.5,231.86,4.0,0.5,49.82,0.9,0.7
"2025-03-01 11:00:00","Washing Machine",600,0.5,211.78,3.0,0.5,50.08,0.88,0.6
"2025-03-01 13:00:00","Washing Machine",600,0.5,218.22,3.0,0.5,50.13,0.97,0.53
"2025-03-01 15:00:00","Washing Machine",600,0.5,217.61,3.0,0.5,50.2,0.86,0.27
"2025-03-01 16:00:00","Washing Machine",600,0.5,222.29,3.0,0.5,50.04,0.97,0.65
"2025-03-01 17:00:00",Microwave,1000,0.5,220.95,4.0,0.5,49.85,0.99,0.56
"2025-03-01 18:00:00","Washing Machine",600,0.5,222.88,3.0,0.5,50.0,0.95,0.29
"2025-03-01 19:00:00","Washing Machine",600,0.5,210.52,3.0,0.5,50.2,0.95,0.54
"2025-03-01 20:00:00",Microwave,1000,0.5,224.4,4.0,0.5,49.98,0.99,0.63
"2025-03-01 21:00:00","Washing Machine",600,0.5,221.19,3.0,0.5,50.19,0.93,0.3
"2025-03-01 23:00:00","Washing Machine",600,0.5,229.02,3.0,0.5,49.82,0.88,0.7
"2025-03-01 00:00:00",Refrigerator,200,0.06,226.57,1.0,0.06,49.85,0.87,0.07
"2025-03-01 01:00:00",Refrigerator,200,0.06,234.98,1.0,0.06,50.06,0.88,0.03
"2025-03-01 18:00:00",Refrigerator,200,0.06,215.99,1.0,0.06,49.93,0.93,0.07
"2025-03-01 19:00:00",Refrigerator,200,0.06,235.56,1.0,0.06,50.04,0.9,0.06
"2025-03-01 22:00:00",Refrigerator,200,0.06,227.69,1.0,0.06,49.93,0.99,0.08
"2025-03-01 00:00:00",Microwave,1000,1.0,216.64,4.0,1.0,50.02,0.86,0.51
"2025-03-01 01:00:00","Air Conditioner",2000,1.0,215.97,8.0,1.0,49.9,0.88,0.56
"2025-03-01 02:00:00",Microwave,1000,1.0,211.64,4.0,1.0,49.83,0.96,0.52
"2025-03-01 03:00:00",Microwave,1000,1.0,216.3,4.0,1.0,50.04,0.96,0.95
"2025-03-01 06:00:00","Air Conditioner",2000,1.0,239.63,8.0,1.0,49.87,0.99,1.03
"2025-03-01 07:00:00","Air Conditioner",2000,1.0,218.81,8.0,1.0,49.93,0.95,1.13
"2025-03-01 10:00:00","Air Conditioner",2000,1.0,233.13,8.0,1.0,50.19,0.87,1.46
"2025-03-01 12:00:00",Microwave,1000,1.0,234.87,4.0,1.0,49.93,0.96,0.8
"2025-03-01 13:00:00",Microwave,1000,1.0,210.19,4.0,1.0,49.9,0.96,0.7
"2025-03-01 15:00:00",Microwave,1000,1.0,211.79,4.0,1.0,49.9,0.91,0.69
"2025-03-01 16:00:00","Air Conditioner",2000,1.0,222.37,8.0,1.0,50.06,0.9,0.83
"2025-03-01 17:00:00",Microwave,1000,1.0,226.93,4.0,1.0,49.96,0.95,0.7
"2025-03-01 18:00:00",Microwave,1000,1.0,230.54,4.0,1.0,49.91,1.0,1.16
"2025-03-01 19:00:00",Microwave,1000,1.0,232.35,4.0,1.0,49.83,0.95,0.7
"2025-03-01 20:00:00","Air Conditioner",2000,1.0,227.28,8.0,1.0,49.98,0.91,1.44
"2025-03-01 21:00:00","Air Conditioner",2000,1.0,220.28,8.0,1.0,49.84,0.92,1.24
"2025-03-01 22:00:00","Air Conditioner",2000,1.0,236.02,8.0,1.0,49.99,0.92,0.58
"2025-03-01 23:00:00","Air Conditioner",2000,1.0,216.24,8.0,1.0,49.95,0.98,1.03
"2025-03-02 02:00:00",Refrigerator,200,0.15,236.01,1.0,0.15,50.08,0.95,0.18
"2025-03-02 09:00:00",Refrigerator,200,0.15,231.75,1.0,0.15,49.94,0.88,0.16
"2025-03-02 00:00:00","Air Conditioner",2000,2.0,213.74,8.0,2.0,50.13,0.98,2.62
"2025-03-02 03:00:00","Air Conditioner",2000,2.0,217.61,8.0,2.0,49.88,0.88,2.22
"2025-03-02 04:00:00","Air Conditioner",2000,2.0,232.51,8.0,2.0,50.16,0.9,1.72
"2025-03-02 06:00:00","Air Conditioner",2000,2.0,235.78,8.0,2.0,50.19,0.95,1.15
"2025-03-02 09:00:00","Air Conditioner",2000,2.0,234.88,8.0,2.0,49.84,0.88,2.56
"2025-03-02 10:00:00","Air Conditioner",2000,2.0,227.49,8.0,2.0,50.17,0.9,2.89
"2025-03-02 11:00:00","Air Conditioner",2000,2.0,217.62,8.0,2.0,49.95,0.95,1.43
"2025-03-02 12:00:00","Air Conditioner",2000,2.0,211.73,8.0,2.0,49.91,0.94,1.66
"2025-03-02 14:00:00","Air Conditioner",2000,2.0,233.92,8.0,2.0,49.88,0.86,1.13
"2025-03-02 18:00:00","Air Conditioner",2000,2.0,219.55,8.0,2.0,50.0,0.89,2.93
"2025-03-02 19:00:00","Air Conditioner",2000,2.0,222.45,8.0,2.0,49.86,0.86,2.73
"2025-03-02 22:00:00","Air Conditioner",2000,2.0,234.82,8.0,2.0,50.05,0.95,2.14
"2025-03-02 23:00:00","Air Conditioner",2000,2.0,219.45,8.0,2.0,49.97,0.93,2.71
"2025-03-02 01:00:00",Microwave,1000,0.5,227.07,4.0,0.5,49.9,0.98,0.33
"2025-03-02 05:00:00",Microwave,1000,0.5,223.97,4.0,0.5,49.84,0.89,0.31
"2025-03-02 06:00:00",Microwave,1000,0.5,229.84,4.0,0.5,50.17,0.97,0.35
"2025-03-02 08:00:00",Microwave,1000,0.5,222.21,4.0,0.5,49.82,0.9,0.4
"2025-03-02 09:00:00",Microwave,1000,0.5,220.05,4.0,0.5,50.1,0.94,0.39
"2025-03-02 10:00:00","Washing Machine",600,0.5,227.08,3.0,0.5,49.85,0.9,0.26
"2025-03-02 13:00:00",Microwave,1000,0.5,217.6,4.0,0.5,49.81,0.99,0.64
"2025-03-02 14:00:00",Microwave,1000,0.5,219.39,4.0,0.5,50.17,0.88,0.38
"2025-03-02 15:00:00",Microwave,1000,0.5,230.45,4.0,0.5,50.09,0.87,0.39
"2025-03-02 16:00:00","Washing Machine",600,0.5,212.23,3.0,0.5,49.91,0.87,0.54
"2025-03-02 19:00:00",Microwave,1000,0.5,230.38,4.0,0.5,50.08,0.98,0.45
"2025-03-02 20:00:00",Microwave,1000,0.5,219.36,4.0,0.5,50.15,0.85,0.49
"2025-03-02 21:00:00",Microwave,1000,0.5,210.2,4.0,0.5,49.85,0.87,0.26
"2025-03-02 22:00:00","Washing Machine",600,0.5,215.04,3.0,0.5,49.85,0.89,0.32
"2025-03-02 23:00:00","Washing Machine",600,0.5,235.77,3.0,0.5,50.02,0.93,0.4
"2025-03-02 04:00:00","LED Light",30,0.06,213.92,0.3,0.06,50.0,0.93,0.07
"2025-03-02 21:00:00",Refrigerator,200,0.06,210.44,1.0,0.06,50.15,0.97,0.08
"2025-03-02 22:00:00",Refrigerator,200,0.06,228.66,1.0,0.06,50.01,0.91,0.07
"2025-03-02 00:00:00","Air Conditioner",2000,1.0,219.98,8.0,1.0,49.83,0.93,0.8
"2025-03-02 01:00:00",Microwave,1000,1.0,231.04,4.0,1.0,49.89,0.93,1.27
"2025-03-02 02:00:00",Microwave,1000,1.0,225.41,4.0,1.0,49.88,0.91,1.05
"2025-03-02 04:00:00","Air Conditioner",2000,1.0,219.68,8.0,1.0,49.83,0.94,0.98
"2025-03-02 06:00:00","Air Conditioner",2000,1.0,221.72,8.0,1.0,49.97,0.92,1.07
"2025-03-02 07:00:00",Microwave,1000,1.0,214.65,4.0,1.0,50.01,0.95,0.74
"2025-03-02 08:00:00","Air Conditioner",2000,1.0,214.01,8.0,1.0,50.13,0.97,0.59
"2025-03-02 09:00:00",Microwave,1000,1.0,211.44,4.0,1.0,50.19,0.89,1.16
"2025-03-02 10:00:00","Air Conditioner",2000,1.0,223.84,8.0,1.0,49.89,0.96,0.55
"2025-03-02 11:00:00","Air Conditioner",2000,1.0,237.24,8.0,1.0,50.19,1.0,1.37
"2025-03-02 12:00:00","Air Conditioner",2000,1.0,212.63,8.0,1.0,50.05,0.93,0.79
"2025-03-02 13:00:00","Air Conditioner",2000,1.0,238.69,8.0,1.0,50.14,0.97,1.24
"2025-03-02 14:00:00",Microwave,1000,1.0,218.77,4.0,1.0,49.89,0.93,0.9
"2025-03-02 15:00:00","Air Conditioner",2000,1.0,228.46,8.0,1.0,50.03,0.93,0.89
"2025-03-02 16:00:00","Air Conditioner",2000,1.0,216.4,8.0,1.0,50.0,0.96,1.31
"2025-03-02 17:00:00",Microwave,1000,1.0,230.02,4.0,1.0,50.11,0.96,0.6
"2025-03-02 18:00:00",Microwave,1000,1.0,214.76,4.0,1.0,50.15,0.93,1.11
"2025-03-02 19:00:00",Microwave,1000,1.0,234.48,4.0,1.0,49.94,0.88,1.04
